year,count_date,hour,direction_of_travel,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles,count_point_id
2005,15/06/2005,9,E,0,6,1413,5,166,73,4,1,8,32,14,132,1722,78287
2005,15/06/2005,10,E,0,3,1007,13,145,83,2,6,13,37,26,167,1335,78287
2005,15/06/2005,11,E,0,5,890,2,156,43,8,8,8,33,16,116,1169,78287
2005,15/06/2005,12,E,0,6,978,1,183,54,7,10,12,49,30,162,1330,78287
2005,15/06/2005,13,E,0,6,977,5,183,41,5,5,30,29,23,133,1304,78287
2005,15/06/2005,14,E,0,6,1010,5,212,38,3,3,22,50,17,133,1366,78287
2005,15/06/2005,15,E,0,8,1189,6,253,22,3,2,19,29,18,93,1549,78287
2005,15/06/2005,16,E,0,16,1692,2,217,17,1,0,7,31,14,70,1997,78287
2005,15/06/2005,17,E,0,16,1884,2,109,13,2,1,8,24,16,64,2075,78287
2005,15/06/2005,18,E,0,16,1824,4,86,12,0,0,9,36,10,67,1997,78287
2005,15/06/2005,7,W,0,11,1614,0,174,39,3,1,8,17,21,89,1888,78287
2005,15/06/2005,8,W,0,14,1839,0,144,52,4,0,18,17,19,110,2107,78287
2005,15/06/2005,9,W,0,3,1330,6,177,49,2,2,6,23,29,111,1627,78287
2005,15/06/2005,10,W,0,5,980,8,153,68,9,2,6,38,32,155,1301,78287
2005,15/06/2005,11,W,1,5,819,1,164,70,8,4,16,35,28,161,1150,78287
2005,15/06/2005,12,W,0,3,888,0,181,63,3,4,14,31,23,138,1210,78287
2005,15/06/2005,13,W,0,11,798,2,207,49,2,7,13,21,26,118,1136,78287
2005,15/06/2005,14,W,0,12,679,0,196,52,2,2,13,32,18,119,1006,78287
2005,15/06/2005,15,W,0,5,904,5,224,35,2,3,14,31,19,104,1242,78287
2005,15/06/2005,16,W,0,17,1059,0,265,22,0,4,20,24,23,93,1434,78287
2005,15/06/2005,17,W,0,21,1742,4,192,13,0,0,15,29,26,83,2042,78287
2005,15/06/2005,18,W,1,22,1389,6,116,13,1,0,11,40,11,76,1609,78287
2005,18/04/2005,11,N,0,2,354,1,66,17,2,4,4,4,0,31,454,78340
2005,18/04/2005,12,N,0,2,433,1,68,18,1,2,1,0,7,29,533,78340
2005,18/04/2005,13,N,0,4,470,2,87,9,1,4,3,3,1,21,584,78340
2005,18/04/2005,14,N,1,2,485,0,90,8,3,0,10,2,3,26,603,78340
2005,18/04/2005,15,N,1,5,577,3,87,11,1,0,3,2,1,18,690,78340
2005,18/04/2005,16,N,0,6,761,1,117,5,0,0,1,0,1,7,892,78340
2005,18/04/2005,17,N,1,14,1130,2,72,9,1,0,0,1,0,11,1229,78340
2005,18/04/2005,18,N,1,8,1097,0,57,5,1,0,1,0,1,8,1170,78340
2005,18/04/2005,7,S,0,10,1081,2,123,19,2,3,1,3,0,28,1244,78340
2005,18/04/2005,8,S,0,9,866,2,84,15,0,2,4,2,1,24,985,78340
2005,18/04/2005,9,S,2,1,545,4,72,20,4,2,5,3,1,35,657,78340
2005,18/04/2005,10,S,0,3,393,6,63,26,5,4,7,1,0,43,508,78340
2005,18/04/2005,11,S,0,1,416,1,90,23,1,0,10,1,3,38,546,78340
2005,18/04/2005,12,S,2,2,445,1,82,22,0,2,5,3,2,34,564,78340
2005,18/04/2005,13,S,1,5,492,0,78,15,1,0,4,0,2,22,597,78340
2005,18/04/2005,14,S,0,3,427,0,62,20,1,3,6,1,3,34,526,78340
2005,18/04/2005,15,S,2,4,539,1,76,13,0,1,4,2,1,21,641,78340
2005,18/04/2005,16,S,1,5,621,2,99,6,1,0,2,0,5,14,741,78340
2005,18/04/2005,17,S,2,11,727,1,46,4,0,1,7,1,2,15,800,78340
2005,18/04/2005,18,S,1,8,695,1,40,4,0,0,7,0,0,11,755,78340
2005,18/04/2005,7,N,1,3,640,2,100,11,2,4,2,2,1,22,767,78340
2005,18/04/2005,8,N,0,4,645,2,63,16,1,2,2,1,0,22,736,78340
2005,18/04/2005,9,N,0,4,468,2,79,18,2,2,6,1,1,30,583,78340
2005,18/04/2005,10,N,0,0,378,2,64,17,4,3,5,1,0,30,474,78340
2005,15/06/2005,7,E,1,0,48,1,4,0,0,0,0,1,0,1,54,919554
2005,15/06/2005,8,E,1,2,89,1,12,2,0,0,0,1,0,3,107,919554
2005,15/06/2005,9,E,0,0,53,3,10,1,1,0,0,0,1,3,69,919554
2005,15/06/2005,10,E,0,0,30,0,21,3,0,0,0,0,1,4,55,919554
2005,15/06/2005,11,E,0,0,22,2,18,2,1,0,2,0,0,5,47,919554
2005,15/06/2005,12,E,0,2,46,0,9,3,0,0,0,0,1,4,61,919554
2005,15/06/2005,13,E,0,0,49,1,16,4,0,0,0,0,0,4,70,919554
2005,15/06/2005,14,E,0,0,37,1,15,2,0,0,0,0,0,2,55,919554
2005,15/06/2005,15,E,0,0,32,1,16,0,0,0,0,1,0,1,50,919554
2005,15/06/2005,16,E,0,1,27,1,14,3,0,0,0,0,0,3,46,919554
2005,15/06/2005,17,E,0,0,8,5,4,1,0,0,0,0,0,1,18,919554
2005,15/06/2005,18,E,0,0,13,6,3,0,0,0,0,0,0,0,22,919554
2005,15/06/2005,7,W,0,0,2,1,1,2,1,0,0,0,0,3,7,919554
2005,15/06/2005,8,W,0,1,8,1,10,2,0,0,0,1,0,3,23,919554
2005,15/06/2005,9,W,0,0,15,1,12,3,0,0,0,1,1,5,33,919554
2005,15/06/2005,10,W,0,0,20,1,16,2,0,0,0,0,0,2,39,919554
2005,15/06/2005,11,W,0,0,15,1,23,3,1,0,0,0,0,4,43,919554
2005,15/06/2005,12,W,0,0,38,0,9,4,0,0,0,0,0,4,51,919554
2005,15/06/2005,13,W,0,0,53,1,10,4,0,0,0,0,0,4,68,919554
2005,15/06/2005,14,W,0,0,37,2,22,1,0,0,0,0,0,1,62,919554
2005,15/06/2005,15,W,0,0,40,0,17,0,0,0,0,1,0,1,58,919554
2005,15/06/2005,16,W,0,1,73,0,10,3,0,0,0,0,1,4,88,919554
2005,15/06/2005,17,W,1,1,102,1,4,3,0,0,0,0,0,3,111,919554
2005,15/06/2005,18,W,0,0,45,1,2,1,0,0,0,0,0,1,49,919554
2005,19/04/2005,7,N,7,4,296,7,70,0,0,0,1,0,0,1,378,930524
2005,19/04/2005,8,N,11,3,526,6,62,0,1,0,0,0,0,1,598,930524
2005,19/04/2005,9,N,1,0,333,7,38,0,0,0,1,0,0,1,379,930524
2005,19/04/2005,10,N,0,1,201,4,34,0,1,0,0,0,0,1,241,930524
2005,19/04/2005,11,N,3,0,181,6,31,0,0,0,1,0,0,1,219,930524
2005,19/04/2005,12,N,2,1,239,1,27,1,0,0,0,0,0,1,269,930524
2005,19/04/2005,13,N,1,6,249,7,27,6,0,0,0,0,0,6,295,930524
2005,19/04/2005,14,N,3,0,239,6,19,3,0,0,0,0,0,3,267,930524
2005,19/04/2005,15,N,2,2,299,7,49,8,0,0,0,0,0,8,365,930524
2005,19/04/2005,16,N,1,0,272,13,24,2,0,0,0,0,0,2,311,930524
2005,19/04/2005,17,N,5,2,329,2,30,4,0,0,0,0,0,4,367,930524
2005,19/04/2005,18,N,4,2,345,1,19,2,0,0,0,0,0,2,369,930524
2005,19/04/2005,7,S,2,1,102,9,28,7,0,1,1,0,0,9,149,930524
2005,19/04/2005,8,S,3,1,212,6,20,6,1,0,0,0,0,7,246,930524
2005,19/04/2005,9,S,1,0,212,4,20,5,0,0,0,0,0,5,241,930524
2005,19/04/2005,10,S,0,0,153,2,24,8,0,1,0,0,0,9,188,930524
2005,19/04/2005,11,S,1,1,201,3,21,4,0,0,1,0,0,5,231,930524
2005,19/04/2005,12,S,1,1,279,4,35,1,0,0,0,0,0,1,320,930524
2005,19/04/2005,13,S,2,4,231,6,19,19,0,0,0,0,0,19,279,930524
2005,19/04/2005,14,S,2,2,278,7,11,16,0,1,0,0,0,17,315,930524
2005,19/04/2005,15,S,1,1,356,11,14,38,0,0,0,0,0,38,420,930524
2005,19/04/2005,16,S,7,2,413,10,27,31,0,0,0,0,0,31,483,930524
2005,19/04/2005,17,S,4,10,720,5,28,20,0,0,0,0,0,20,783,930524
2005,19/04/2005,18,S,5,0,494,3,25,21,0,0,0,0,0,21,543,930524
2005,06/06/2005,7,E,0,2,226,2,24,0,0,0,0,0,0,0,254,930525
2005,06/06/2005,8,E,1,0,363,4,14,1,1,1,0,0,0,3,384,930525
2005,06/06/2005,9,E,1,0,162,2,24,1,1,1,0,0,0,3,191,930525
2005,06/06/2005,10,E,0,1,134,2,11,3,0,0,1,0,0,4,152,930525
2005,06/06/2005,11,E,0,2,122,2,19,2,0,0,0,0,0,2,147,930525
2005,06/06/2005,12,E,1,1,149,2,16,5,0,0,0,0,0,5,173,930525
2005,06/06/2005,13,E,0,3,165,2,5,5,0,0,0,0,0,5,180,930525
2005,06/06/2005,14,E,0,0,141,2,10,2,0,0,0,0,0,2,155,930525
2005,06/06/2005,15,E,1,1,238,1,15,0,0,0,0,0,0,0,255,930525
2005,06/06/2005,16,E,1,0,210,4,21,3,0,0,1,0,0,4,239,930525
2005,06/06/2005,17,E,1,1,294,2,14,1,0,0,0,0,0,1,312,930525
2005,06/06/2005,18,E,1,5,279,5,8,0,0,0,0,0,1,1,298,930525
2005,06/06/2005,7,W,1,1,146,4,20,1,0,0,0,0,0,1,172,930525
2005,06/06/2005,8,W,3,1,383,3,12,2,0,0,0,0,0,2,401,930525
2005,06/06/2005,9,W,0,2,192,2,8,5,1,0,0,0,0,6,210,930525
2005,06/06/2005,10,W,0,1,143,2,10,3,1,0,0,0,0,4,160,930525
2005,06/06/2005,11,W,0,2,135,2,13,4,0,0,0,0,0,4,156,930525
2005,06/06/2005,12,W,1,0,149,2,14,3,0,0,0,0,0,3,168,930525
2005,06/06/2005,13,W,1,1,150,2,17,3,0,0,0,0,0,3,173,930525
2005,06/06/2005,14,W,0,2,152,1,13,1,1,0,0,0,0,2,170,930525
2005,06/06/2005,15,W,2,2,242,3,28,1,0,0,0,0,0,1,276,930525
2005,06/06/2005,16,W,1,1,200,5,23,2,0,0,0,0,0,2,231,930525
2005,06/06/2005,17,W,1,1,278,3,28,0,0,0,0,0,0,0,310,930525
2005,06/06/2005,18,W,0,0,268,1,6,0,0,0,0,0,0,0,275,930525
2005,03/10/2005,13,N,0,0,128,3,14,3,1,0,0,0,1,5,150,930526
2005,03/10/2005,14,N,1,0,131,2,23,1,2,0,0,0,0,3,159,930526
2005,03/10/2005,15,N,1,1,203,2,23,2,0,0,0,0,0,2,231,930526
2005,03/10/2005,16,N,2,2,130,4,17,1,0,0,0,0,0,1,154,930526
2005,03/10/2005,17,N,2,1,180,4,21,2,0,0,0,0,0,2,208,930526
2005,03/10/2005,18,N,2,3,174,4,16,0,0,0,0,0,0,0,197,930526
2005,03/10/2005,7,S,2,1,96,9,18,3,0,0,0,2,1,6,130,930526
2005,03/10/2005,8,S,3,0,182,5,13,2,0,0,0,0,0,2,202,930526
2005,03/10/2005,9,S,0,1,93,5,9,3,0,0,0,0,0,3,111,930526
2005,03/10/2005,10,S,0,1,84,2,16,2,0,0,0,0,0,2,105,930526
2005,03/10/2005,11,S,0,0,105,5,18,4,1,1,0,0,0,6,134,930526
2005,03/10/2005,12,S,0,0,146,5,17,7,1,0,0,0,0,8,176,930526
2005,03/10/2005,13,S,3,0,135,6,14,0,0,0,0,0,0,0,155,930526
2005,03/10/2005,14,S,3,0,159,4,16,1,0,0,0,0,1,2,181,930526
2005,03/10/2005,15,S,1,1,226,8,32,2,0,0,1,0,1,4,271,930526
2005,03/10/2005,16,S,6,1,209,4,26,3,0,0,1,0,0,4,244,930526
2005,03/10/2005,17,S,7,5,390,5,30,5,0,0,0,0,0,5,435,930526
2005,03/10/2005,18,S,2,5,292,3,17,0,0,0,0,0,0,0,317,930526
2005,03/10/2005,7,N,2,2,222,2,50,6,0,0,0,0,0,6,282,930526
2005,03/10/2005,8,N,2,4,449,2,38,2,1,0,0,0,0,3,496,930526
2005,03/10/2005,9,N,1,2,194,6,21,6,0,0,0,0,0,6,229,930526
2005,03/10/2005,10,N,0,0,110,3,19,3,1,0,0,0,0,4,136,930526
2005,03/10/2005,11,N,1,0,116,6,15,5,0,0,0,0,1,6,143,930526
2005,03/10/2005,12,N,2,0,129,3,17,8,0,1,0,0,0,9,158,930526
2005,20/09/2005,7,S,1,5,496,9,89,18,2,0,0,0,0,20,619,966041
2005,20/09/2005,8,S,0,13,590,5,80,18,0,2,0,0,0,20,708,966041
2005,20/09/2005,9,S,0,4,379,2,59,20,3,2,0,0,0,25,469,966041
2005,20/09/2005,10,S,0,3,292,3,68,14,3,1,0,3,0,21,387,966041
2005,20/09/2005,11,S,0,1,275,5,58,20,3,3,0,0,0,26,365,966041
2005,20/09/2005,12,S,0,6,272,2,62,13,2,3,0,3,1,22,364,966041
2005,20/09/2005,13,S,0,4,290,4,50,8,2,4,0,3,1,18,366,966041
2005,20/09/2005,14,S,2,4,275,7,72,7,2,5,0,1,0,15,373,966041
2005,20/09/2005,15,S,0,6,307,4,70,6,2,5,0,0,0,13,400,966041
2005,20/09/2005,16,S,0,4,355,2,81,1,2,0,0,0,1,4,446,966041
2005,20/09/2005,17,S,2,7,489,1,53,0,0,0,0,0,0,0,550,966041
2005,20/09/2005,18,S,5,5,457,4,26,2,0,0,0,0,0,2,494,966041
2005,20/09/2005,7,N,1,13,654,6,131,14,0,1,1,1,0,17,821,966041
2005,20/09/2005,8,N,1,9,604,9,60,16,0,3,0,0,0,19,701,966041
2005,20/09/2005,9,N,1,7,471,2,79,17,2,6,1,0,0,26,585,966041
2005,20/09/2005,10,N,1,4,315,8,54,22,1,4,0,0,0,27,408,966041
2005,20/09/2005,11,N,0,3,328,3,71,32,3,3,0,1,2,41,446,966041
2005,20/09/2005,12,N,0,5,303,3,54,17,4,4,0,0,1,26,391,966041
2005,20/09/2005,13,N,2,9,340,1,85,13,5,6,2,0,0,26,461,966041
2005,20/09/2005,14,N,0,5,393,5,77,5,4,3,0,0,0,12,492,966041
2005,20/09/2005,15,N,1,5,396,11,83,4,2,4,1,1,0,12,507,966041
2005,20/09/2005,16,N,0,8,538,5,117,3,2,1,1,0,0,7,675,966041
2005,20/09/2005,17,N,3,7,591,5,56,4,0,0,0,0,0,4,663,966041
2005,20/09/2005,18,N,1,5,552,5,46,1,1,0,1,0,0,3,611,966041
2005,13/09/2005,7,N,3,0,15,0,3,0,0,0,0,0,0,0,18,968221
2005,13/09/2005,8,N,1,0,36,0,4,0,0,0,0,0,0,0,40,968221
2005,13/09/2005,9,N,1,0,27,0,4,0,0,0,1,0,0,1,32,968221
2005,13/09/2005,10,N,0,1,28,0,2,0,0,0,0,0,0,0,31,968221
2005,13/09/2005,11,N,3,1,26,0,3,0,0,0,0,0,0,0,30,968221
2005,13/09/2005,12,N,1,1,45,0,6,0,0,0,0,0,0,0,52,968221
2005,13/09/2005,13,N,0,0,21,1,3,0,0,0,0,0,0,0,25,968221
2005,13/09/2005,14,N,0,0,29,1,3,0,0,0,0,0,0,0,33,968221
2005,13/09/2005,15,N,1,0,34,0,6,0,0,0,0,0,0,0,40,968221
2005,13/09/2005,16,N,0,0,39,0,4,0,0,0,0,0,0,0,43,968221
2005,13/09/2005,17,N,1,5,48,0,7,0,0,0,0,0,0,0,60,968221
2005,13/09/2005,18,N,0,0,24,0,0,0,0,0,0,0,0,0,24,968221
2005,13/09/2005,7,S,0,1,12,0,4,2,0,0,0,0,0,2,19,968221
2005,13/09/2005,8,S,0,1,30,0,8,0,0,0,0,0,0,0,39,968221
2005,13/09/2005,9,S,1,0,50,0,6,2,0,0,1,0,0,3,59,968221
2005,13/09/2005,10,S,0,1,40,1,7,1,0,0,0,0,0,1,50,968221
2005,13/09/2005,11,S,1,0,26,0,4,0,0,0,0,0,0,0,30,968221
2005,13/09/2005,12,S,0,0,24,0,4,0,0,0,0,0,0,0,28,968221
2005,13/09/2005,13,S,0,0,22,0,5,0,0,0,0,0,0,0,27,968221
2005,13/09/2005,14,S,0,0,12,0,2,0,0,0,0,0,0,0,14,968221
2005,13/09/2005,15,S,1,0,37,0,3,0,0,0,0,0,0,0,40,968221
2005,13/09/2005,16,S,2,0,29,0,4,0,0,0,0,0,0,0,33,968221
2005,13/09/2005,17,S,5,1,19,0,4,0,1,0,0,0,0,1,25,968221
2005,13/09/2005,18,S,2,0,22,0,2,0,0,0,0,0,0,0,24,968221
2005,19/05/2005,17,S,0,1,19,0,2,0,0,0,0,0,0,0,22,990555
2005,19/05/2005,18,S,0,0,11,0,0,0,0,0,0,0,0,0,11,990555
